study_no,study_case_id,repo,tool,selection_type,selection_note,priority_reason,case_kind,reported_file,reported_line,reported_column,location_validity,source_region,mode,case_uid,run_dir,input_bc,input_ll,raw_artifact,raw_row_or_line,ir_function,ir_instruction,ir_line,ir_snippet,source_snippet,message,root_cause_hint,confidence,evidence_files,notes
1,paper-libsndfile-phasar-01,libsndfile,phasar,unique-location,unique P0 location selected from deduplicated inventory,SourceTextMismatch,LocationDrift,CompilerOptimization/Target/libsndfile/src/common.h,974,,valid,project_header,ifds-uninit,phasar.libsndfile.O2g.000309,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/runs/ifds-uninit/libsndfile_O2_g-Mon-Mar-16-07:39:03-2026,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/artifacts/libsndfile_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/artifacts/libsndfile_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/runs/ifds-uninit/libsndfile_O2_g-Mon-Mar-16-07:39:03-2026/psr-report.txt,5293,dpcm_read_dsc2s,,5302,"%49 = add i8 %48, %42, !dbg !136051, !psr.id !136073 | ID: 66118",{,Phasar IFDS-Uninitialized use; variables=last_val; reported_source={	last_val += src [k] ;,debug_location_or_source_attribution_drift_candidate,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/runs/ifds-uninit/libsndfile_O2_g-Mon-Mar-16-07:39:03-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
2,paper-libsndfile-phasar-02,libsndfile,phasar,unique-location,unique P0 location selected from deduplicated inventory,LineOutOfRange,LocationInvalid,CompilerOptimization/Target/libsndfile/src/GSM610/gsm610_priv.h,616,,line_out_of_range,project_header,ifds-uninit,phasar.libsndfile.O2g.000267,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/runs/ifds-uninit/libsndfile_O2_g-Mon-Mar-16-07:39:03-2026,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/artifacts/libsndfile_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/artifacts/libsndfile_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/runs/ifds-uninit/libsndfile_O2_g-Mon-Mar-16-07:39:03-2026/psr-report.txt,4688,Gsm_Long_Term_Predictor,,4697,"%2334 = shl i32 %2251, %2333, !dbg !159835, !psr.id !159836 | ID: 79559",,"Phasar IFDS-Uninitialized use; variables=L_max; reported_source=R = SASR_L (L_max << temp, 16) ;",debug_location_or_source_attribution_drift_candidate,0.99,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/runs/ifds-uninit/libsndfile_O2_g-Mon-Mar-16-07:39:03-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
3,paper-libsndfile-seahorn-03,libsndfile,seahorn,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,Target/libsndfile/src/GSM610/short_term.c,0,0,line_zero,project_source,smc_instrument,seahorn.libsndfile.O2g.000308,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.instrument.stderr.log,313,,,,"%51 = insertelement <8 x float> poison, float %13, i64 0, !dbg !6786",,Possible read of undefined value at,location_invalid_or_untrusted_debug_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/report/final_report.md,all_cases_case_id=313;all_cases_step=06;all_cases_name=smc_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/GSM610/short_term.c
4,paper-libsndfile-seahorn-04,libsndfile,seahorn,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,Target/libsndfile/src/alaw.c,0,0,line_zero,project_source,smc_instrument,seahorn.libsndfile.O2g.000119,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.instrument.stderr.log,124,,,,"%29 = insertelement <4 x float> poison, float %28, i64 0, !dbg !7174",,Possible read of undefined value at,location_invalid_or_untrusted_debug_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/summary/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.instrument.stderr.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/report/final_report.md,all_cases_case_id=124;all_cases_step=06;all_cases_name=smc_instrument;collected_from=all_cases.undefined_read_block;resolved_source=/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/alaw.c
5,paper-libsndfile-dg-05,libsndfile,dg,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,,0,0,line_zero,unknown,cda_dod,dg.libsndfile.O2g.0000001,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/work/libsndfile_convert.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_dod.lines.stdout.log,1,,,,,,0:0 -> 313:15,dg_c_lines_reported_invalid_source_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/summary/line_hits.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_dod.lines.stdout.log,source_resolution=missing;summary_csv=line_hits.csv;summary_row=2;source_candidate_index=1;source_count=0;native_output_line=1
6,paper-libsndfile-dg-06,libsndfile,dg,repeat-location-variant,unique locations are insufficient for this repo/tool; selected a second raw P0 row as same-location evidence variant,LineZero,LocationInvalid,,0,0,line_zero,unknown,cda_dod_ntscd,dg.libsndfile.O2g.0003190,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/work/libsndfile_convert.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_dod_ntscd.lines.stdout.log,11,,,,,,0:0 -> 113:2,dg_c_lines_reported_invalid_source_location,0.95,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/summary/line_hits.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/dg/dg-LLVM14-O2-g/high_precision_20260402_153719/log/cda_dod_ntscd.lines.stdout.log,source_resolution=missing;summary_csv=line_hits.csv;summary_row=1549;source_candidate_index=1;source_count=0;native_output_line=11
7,paper-libsndfile-cclyzerpp-07,libsndfile,cclyzer++,unique-location,unique P0 location selected from deduplicated inventory,ColumnOutOfRange,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/common.c,193,30,column_out_of_range,project_source,phi_instr,cclyzerpp.libsndfile.O2g.014160,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/ir/libsndfile_sndfile_convert_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/all_cases.csv,phi_instr:4493:fabfbb94c97292e99b8ecac0ae696cb2cc96fe67,<llvm-link>:sfe_apply_metadata_changes,<llvm-link>:sfe_apply_metadata_changes:271,,"store i32 %209, i32* %210, align 4, !dbg !87358, !tbaa !33187",   191: 						if (lead_char != '0' && left_align == SF_FALSE)\n   192: 							width_specifier -- ;\n>> 193: \n   194: 						u = - ((unsigned) d) ;\n   195: 						},Wanted-PhiMergeLocationDrift; phi_instr; ColumnOutOfRange; phi_incoming_count=3,Mem2Reg_or_Phi-node_merge_or_CFG_simplification,medium,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/snippets/cclyzerpp_libsndfile_O2g_015560.source.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/snippets/cclyzerpp_libsndfile_O2g_015560.ir.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/snippets/cclyzerpp_libsndfile_O2g_015560.row.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/relations;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/commands/command.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/log/cclyzerpp.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/analysis_manifest.json;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/inventory/relation_row_counts.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/index/ir_instruction_index.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/map/native_fact_source_map.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/report/final_native_output_analysis.md,source_exists=1; original_priority=P0; mapping_status=ColumnOutOfRange; phenomenon=Wanted-PhiMergeLocationDrift
8,paper-libsndfile-cclyzerpp-08,libsndfile,cclyzer++,unique-location,unique P0 location selected from deduplicated inventory,ColumnOutOfRange,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/common.c,289,22,column_out_of_range,project_source,phi_instr,cclyzerpp.libsndfile.O2g.014162,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/ir/libsndfile_sndfile_convert_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/all_cases.csv,phi_instr:4495:bc1d95214ca140dac45d768c9b0ab843b978b625,<llvm-link>:sfe_apply_metadata_changes,<llvm-link>:sfe_apply_metadata_changes:367,,"%291 = select i1 %289, i1 true, i1 %290, !dbg !87444",					{	tens *= 10 ;,Wanted-PhiMergeLocationDrift; phi_instr; ColumnOutOfRange; phi_incoming_count=2,Mem2Reg_or_Phi-node_merge_or_CFG_simplification,medium,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/snippets/cclyzerpp_libsndfile_O2g_015562.source.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/snippets/cclyzerpp_libsndfile_O2g_015562.ir.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/snippets/cclyzerpp_libsndfile_O2g_015562.row.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/all_cases.csv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/relations;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/commands/command.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/log/cclyzerpp.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/analysis_manifest.json;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/inventory/relation_row_counts.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/index/ir_instruction_index.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/map/native_fact_source_map.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/cclyzerpp/LLVM14-O2-g/run_20260427_132609_libsndfile_sndfile_convert_O2_g/ValueCases/report/final_native_output_analysis.md,source_exists=1; original_priority=P0; mapping_status=ColumnOutOfRange; phenomenon=Wanted-PhiMergeLocationDrift
9,paper-libsndfile-yapall-09,libsndfile,yapall,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/programs/common.c,0,,line_zero,project_source,subset:k0:default,yapall.libsndfile.O2g.000222046,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=384897; kind=invalid_load; operand=sfe_apply_metadata_changes:0; allocation=*@codec_close,sfe_apply_metadata_changes,sfe_apply_metadata_changes:sfe_apply_metadata_changes:2:14,14,"%9 = load i8*, i8** %0, align 8, !dbg !87128, !tbaa !7225",,invalid_load issue; site_resolution=resolved_via_reverse_use; classification=Wanted-LineColumnMissing; all_classes=Wanted-LineColumnMissing,DWARF location drift,high,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/commands/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/ValueCases/summary.md,candidate_id=libsndfile_000388143; issue_id=91bdde38490ee4ca; mapping_status=source_line_missing; token_at_column=; expected_token_kind=load-like pointer token; actual_token_kind=column_unknown; site_role=load.ptr; ll_source=native_compiler_artifact; valuecase_notes=ambiguous_multiple_sites
10,paper-libsndfile-yapall-10,libsndfile,yapall,unique-location,unique P0 location selected from deduplicated inventory,LineZero,LocationInvalid,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/programs/sndfile-convert.c,0,,line_zero,project_source,subset:k0:default,yapall.libsndfile.O2g.000809419,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/libsndfile/LLVM14-O2-g/artifacts/libsndfile_sndfile_convert_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=1235389; kind=points_to_top; operand=main:1,main,main:main:2:6,6,"call void @llvm.dbg.value(metadata i8** %1, metadata !86560, metadata !DIExpression()), !dbg !86589",,points_to_top issue; site_resolution=resolved_via_reverse_use; classification=Wanted-LineColumnMissing; all_classes=Wanted-LineColumnMissing,DWARF location drift,high,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/commands/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/status/run_status.tsv;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/report/final_report.md;/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/ValueCases/summary.md,candidate_id=libsndfile_001266759; issue_id=c7a1b46da74b3d21; mapping_status=source_line_missing; token_at_column=; expected_token_kind=operand definition/use token; actual_token_kind=column_unknown; site_role=call.arg; ll_source=native_compiler_artifact; valuecase_notes=ambiguous_multiple_sites
