target,priority_reason,reported_file,reported_line,reported_column,location_validity,source_region,example_case_uid,example_raw_artifact,example_raw_row_or_line,ir_snippet,source_snippet,validation_status
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/src/idl_parser.cpp,0,,line_zero,project_source,cclyzerpp.flatbuffers.O2g.000017,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:291813:a2baac37487992d592508eee8863dc68df3e5ccb,"%271 = phi %""struct.flatbuffers::Namespace""* [ %242, %248 ], [ null, %267 ], !dbg !190816",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/idl.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.000079,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:73505:7a2a68374eac45f22c780f85da7e2e9adc634298,"call void @llvm.dbg.value(metadata %""struct.flatbuffers::FieldDef""* %1583, metadata !120271, metadata !DIExpression()), !dbg !120274",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/util.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.000231,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:238191:d85aa89b3f5f7983cd288d2d38d7c324f6aa9b0f,"call void @llvm.dbg.value(metadata i8** %9, metadata !147710, metadata !DIExpression(DW_OP_deref)), !dbg !172383",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/flexbuffers.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.000278,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:238538:88d13845b206289661892574fcf1e4c01131fb31,"call void @llvm.dbg.value(metadata i64 %273, metadata !172271, metadata !DIExpression()), !dbg !172277",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/vector_downward.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.000325,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:215619:5090f4f733cb5be4ff899bbfd0b8865750925613,"call void @llvm.dbg.value(metadata %""class.flatbuffers::FlatBufferBuilderImpl""* %8, metadata !153692, metadata !DIExpression()), !dbg !165886",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/flatbuffer_builder.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.000326,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:215312:f0bf4f05c4dd40d0ecc19b94f4db59d76a687042,"call void @llvm.dbg.value(metadata i64 %462, metadata !164407, metadata !DIExpression()) #51, !dbg !166014",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/reflection_generated.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.001299,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:473124:839271094425c19aa5bbc8b5f00eace8fcaa1eee,"call void @llvm.dbg.value(metadata %""struct.reflection::Service""* %1, metadata !271931, metadata !DIExpression()), !dbg !274919",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/table.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.001300,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:473198:bae2ea47c1b544e57740e265ee01e7c29368b6d4,"call void @llvm.dbg.value(metadata i8* %893, metadata !170269, metadata !DIExpression()), !dbg !274561",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/src/util.cpp,0,,line_zero,project_source,cclyzerpp.flatbuffers.O2g.001383,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:485737:9f0e50d46bef523678b51834f17007712ba41e37,"call void @llvm.dbg.value(metadata !DIArgList(i8* %58, i64 %95), metadata !328227, metadata !DIExpression(DW_OP_LLVM_arg, 0, DW_OP_LLVM_arg, 1, DW_OP_constu, 1, DW_OP_mul, DW_OP_plus, DW_OP_stack_value)), !dbg !328232",,ok
flatbuffers,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/flatbuffers/include/flatbuffers/vector.h,0,,line_zero,project_header,cclyzerpp.flatbuffers.O2g.001902,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/cclyzerpp/LLVM14-O2-g/run_20260427_132609_flatbuffers_flatc_O2_g/ValueCases/all_cases.csv,subset.var_points_to:473301:f7149f4f25994606a1cbbdcb8ff209a58abcc5fe,"call void @llvm.dbg.value(metadata %""struct.std::__cxx11::basic_string<char>::_Alloc_hider""* undef, metadata !275533, metadata !DIExpression()), !dbg !275536",,ok
