case_uid,target,tool,priority,priority_reason,case_kind,status_label,run_dir,run_id,mode,input_bc,input_ll,raw_artifact,raw_row_or_line,reported_file,reported_line,reported_column,location_validity,source_region,project_source_only,header_context,ir_function,ir_instruction,ir_line,ir_snippet,source_snippet,message,root_cause_hint,confidence,needs_manual_review,manual_verdict,evidence_files,notes
phasar.lepton.O2g.000001,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,5,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/functional,578,,missing_file,system_header,0,system_header,_ZNSt5_BindIFPFvPKhmPPKcN8Sirikata7Array1dIhLj16ENS5_13DontRoundPow2ENS5_10DirectTypeINS5_15ArrayBaseType1dIhLj16ES7_EEEEEEiEPhmS4_SC_iEEC2IJSF_mRS4_RSC_RiEEEOSE_DpOT_,,14,"%22 = load ptr, ptr %12, align 8, !dbg !116947, !psr.id !116950 | ID: 48323",,"Phasar IFDS-Uninitialized use; variables=__args; reported_source=: _M_f(std::move(__f)), _M_bound_args(std::forward<_Args>(__args)...)",debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000002,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,17,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/tuple,891,,missing_file,system_header,0,system_header,_ZNSt5tupleIJPhmPPKcN8Sirikata7Array1dIhLj16ENS4_13DontRoundPow2ENS4_10DirectTypeINS4_15ArrayBaseType1dIhLj16ES6_EEEEEEiEEC2IJS0_mRS3_RSB_RiELb1ELb1EEEDpOT_,,26,"%16 = load ptr, ptr %10, align 8, !dbg !116990, !psr.id !116993 | ID: 48349",,Phasar IFDS-Uninitialized use; variables=__elements; reported_source=: _Inherited(std::forward<_UElements>(__elements)...) { },debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000003,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,29,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/tuple,292,,missing_file,system_header,0,system_header,_ZNSt11_Tuple_implILm0EJPhmPPKcN8Sirikata7Array1dIhLj16ENS4_13DontRoundPow2ENS4_10DirectTypeINS4_15ArrayBaseType1dIhLj16ES6_EEEEEEiEEC2IS0_JmRS3_RSB_RiEvEEOT_DpOT0_,,38,"%15 = load ptr, ptr %10, align 8, !dbg !117037, !psr.id !117039 | ID: 48374",,"Phasar IFDS-Uninitialized use; variables=__tail, __tail; reported_source=: _Inherited(std::forward<_UTail>(__tail)...),",debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000004,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,43,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/tuple,293,,missing_file,system_header,0,system_header,_ZNSt11_Tuple_implILm2EJPPKcN8Sirikata7Array1dIhLj16ENS3_13DontRoundPow2ENS3_10DirectTypeINS3_15ArrayBaseType1dIhLj16ES5_EEEEEEiEEC2IRS2_JRSA_RiEvEEOT_DpOT0_,,52,"%13 = load ptr, ptr %6, align 8, !dbg !117161, !psr.id !117162 | ID: 48435",,Phasar IFDS-Uninitialized use; variables=__head; reported_source=_Base(std::forward<_UHead>(__head)),debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000005,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,55,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/tuple,201,,missing_file,system_header,0,system_header,_ZNSt10_Head_baseILm2EPPKcLb0EEC2IRS2_EEOT_,,64,"%7 = load ptr, ptr %4, align 8, !dbg !117248, !psr.id !117249 | ID: 48474",,Phasar IFDS-Uninitialized use; variables=__h; reported_source=: _M_head_impl(std::forward<_UHead>(__h)) { },debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000010,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,123,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/bits/alloc_traits.h,266,,missing_file,system_header,0,system_header,_ZNSt16allocator_traitsIN8Sirikata13JpegAllocatorIhEEE12_S_constructIhJRKhEEENSt9enable_ifIXsr6__and_INS3_18__construct_helperIT_JDpT0_EE4typeEEE5valueEvE4typeERS2_PS9_DpOSA_,,132,"%9 = load ptr, ptr %6, align 8, !dbg !34325, !psr.id !34326 | ID: 3155",,"Phasar IFDS-Uninitialized use; variables=__args; reported_source={ __a.construct(__p, std::forward<_Args>(__args)...); }",debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000014,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,173,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/bits/stl_uninitialized.h,384,,missing_file,system_header,0,system_header,_ZSt22__uninitialized_move_aIPhS0_N8Sirikata13JpegAllocatorIhEEET0_T_S5_S4_RT1_,,182,"%11 = load ptr, ptr %5, align 8, !dbg !35252, !psr.id !35253 | ID: 3665",,"Phasar IFDS-Uninitialized use; variables=__first; reported_source=return std::__uninitialized_copy_a(_GLIBCXX_MAKE_MOVE_ITERATOR(__first),",debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000015,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,185,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/bits/stl_algobase.h,902,,missing_file,system_header,0,system_header,_ZSt13move_backwardIPhS0_ET0_T_S2_S1_,,194,"%9 = load ptr, ptr %5, align 8, !dbg !35299, !psr.id !35300 | ID: 3692",,"Phasar IFDS-Uninitialized use; variables=__last; reported_source=std::__miter_base(__last),",debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000016,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,197,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/bits/stl_algobase.h,633,,missing_file,system_header,0,system_header,_ZSt4copyIPhN9__gnu_cxx17__normal_iteratorIS0_St6vectorIhN8Sirikata13JpegAllocatorIhEEEEEET0_T_SA_S9_,,206,"%10 = load ptr, ptr %6, align 8, !dbg !35333, !psr.id !35334 | ID: 3709",,"Phasar IFDS-Uninitialized use; variables=__first, __last; reported_source=(std::__miter_base(__first), std::__miter_base(__last), __result);",debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
phasar.lepton.O2g.000017,lepton,phasar,P2,ExternalOrUnresolvedSource,RunOrLocationWeakEvidence,reported,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026,lepton_O2_g-Mon-Mar-16-10:10:01-2026,ifds-uninit,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.bc,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/artifacts/lepton_O2_g.ll,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt,211,/usr/bin/../lib/gcc/x86_64-linux-gnu/13/../../../../include/c++/13/bits/stl_vector.h,381,,missing_file,system_header,0,system_header,_ZNSt12_Vector_baseIhN8Sirikata13JpegAllocatorIhEEE11_M_allocateEm,,220,"%6 = load i64, ptr %4, align 8, !dbg !33027, !psr.id !33028 | ID: 2449",,"Phasar IFDS-Uninitialized use; variables=__n, __n; reported_source=return __n != 0 ? _Tr::allocate(_M_impl, __n) : pointer();",debug_location_or_source_attribution_drift_candidate,0.50,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/runs/ifds-uninit/lepton_O2_g-Mon-Mar-16-10:10:01-2026/psr-report.txt;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/commands.log;/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/phasar/phasar-O2-g/log/summary.csv,Generated by re-parsing psr-report.txt; source_resolution=direct_or_container_remap; exact source line was revalidated against the resolved source tree.
