target,priority_reason,reported_file,reported_line,reported_column,location_validity,source_region,example_case_uid,example_raw_artifact,example_raw_row_or_line,source_snippet,validation_status
zopfli,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/zopfli/src/zopfli/lz77.c,0,,line_zero,project_source,yapall.zopfli.O2g.000000013,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/yapall/LLVM14-O2-g/run_20260427_yapall_docker_smoke/log/CompilerOptimization_CompilerResult_zopfli_LLVM14-O2-g_artifacts_zopfli_O2_g_zopfli_only_bc_subset_k0_default.log,line=32; kind=invalid_load; operand=ZopfliStoreLitLenDist:ZopfliStoreLitLenDist:285:0; allocation=*null,,ok
zopfli,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/zopfli/src/zopfli/deflate.c,0,,line_zero,project_source,yapall.zopfli.O2g.000000090,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/yapall/LLVM14-O2-g/run_20260427_yapall_docker_smoke/log/CompilerOptimization_CompilerResult_zopfli_LLVM14-O2-g_artifacts_zopfli_O2_g_zopfli_only_bc_subset_k0_default.log,line=72; kind=invalid_load; operand=EncodeTree:7; allocation=*null,,ok
zopfli,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/zopfli/src/zopfli/blocksplitter.c,0,,line_zero,project_source,yapall.zopfli.O2g.000000259,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/yapall/LLVM14-O2-g/run_20260427_yapall_docker_smoke/log/CompilerOptimization_CompilerResult_zopfli_LLVM14-O2-g_artifacts_zopfli_O2_g_zopfli_only_bc_subset_k0_default.log,line=208; kind=invalid_store; operand=ZopfliBlockSplitLZ77:ZopfliBlockSplitLZ77:420:0; allocation=*null,,ok
libsndfile,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/ALAC/alac_decoder.c,0,,line_zero,project_source,yapall.libsndfile.O2g.000056761,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=157995; kind=invalid_load; operand=alac_decoder_init:alac_decoder_init:24:1; allocation=*@sds_3byte_read,,ok
libsndfile,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/common.c,0,,line_zero,project_source,yapall.libsndfile.O2g.000085123,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=194834; kind=invalid_load; operand=psf_binheader_readf:psf_binheader_readf:583:5; allocation=*@wav_next_chunk_iterator,,ok
libsndfile,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/ms_adpcm.c,0,,line_zero,project_source,yapall.libsndfile.O2g.000088709,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=199072; kind=invalid_load; operand=msadpcm_decode_block:msadpcm_decode_block:36:3; allocation=*@wav_next_chunk_iterator,,ok
libsndfile,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/aiff.c,0,,line_zero,project_source,yapall.libsndfile.O2g.000150651,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=287095; kind=invalid_load; operand=aiff_open:aiff_open:711:11; allocation=*@wav_next_chunk_iterator,,ok
libsndfile,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/sndfile.c,0,,line_zero,project_source,yapall.libsndfile.O2g.000176731,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=323933; kind=invalid_load; operand=sf_perror:sf_perror:18:0; allocation=*null,,ok
libsndfile,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/programs/common.c,0,,line_zero,project_source,yapall.libsndfile.O2g.000222046,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=384897; kind=invalid_load; operand=sfe_apply_metadata_changes:0; allocation=*@codec_close,,ok
libsndfile,LineZero,/home/jimi/PaperExperiment/CompilerOptimization/Target/libsndfile/src/ALAC/alac_encoder.c,0,,line_zero,project_source,yapall.libsndfile.O2g.000373712,/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/yapall/LLVM14-O2-g/run_20260427_yapall_docker_sndfile_convert_linked/log/CompilerOptimization_CompilerResult_libsndfile_LLVM14-O2-g_artifacts_libsndfile_sndfile_convert_O2_g_bc_subset_k0_default.log,line=581821; kind=invalid_store; operand=alac_get_magic_cookie:2; allocation=*@.str.73.1738:true(_),,ok
