target,run_dir,classification,mapping_status,source_region,rows,reason
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_exact_operand_instruction,project_header,46146,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_exact_operand_instruction,project_source,5506,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_exact_operand_instruction,system_header,76610,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_exact_operand_instruction,system_source,332,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_via_reverse_use,project_header,137884,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_via_reverse_use,project_source,27522,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_via_reverse_use,system_header,94154,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,InlineAttributionDrift,resolved_via_reverse_use,system_source,470,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Useless-CodeConsistent,resolved_exact_operand_instruction,project_source,370,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Useless-CodeConsistent,resolved_via_reverse_use,project_header,4,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Useless-CodeConsistent,resolved_via_reverse_use,project_source,60,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Wanted-LineColumnMissing,source_column_out_of_range,system_header,14992,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Wanted-LineColumnMissing,source_line_missing,project_header,12685,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Wanted-LineColumnMissing,source_line_missing,project_source,15739,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Wanted-LineColumnMissing,source_line_missing,system_header,12280,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,Wanted-LineColumnMissing,source_line_missing,system_source,285,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,WrongFunctionAttribution,resolved_exact_operand_instruction,project_header,2427,summarized raw ValueCases rows from result.txt-allowed runs only
lepton,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/yapall/LLVM14-O2-g/run_20260427_yapall_docker_lepton_linked,WrongFunctionAttribution,resolved_exact_operand_instruction,project_source,65378,summarized raw ValueCases rows from result.txt-allowed runs only
