step,analysis_mode,channel,pass,timeout_sec,status,exit_code,elapsed_sec,issue,stdout,stderr,dot_file
cda_standard,standard,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass1.lines.stderr.log,
cda_standard,standard,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass2.lines.stderr.log,
cda_ntscd,ntscd,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass1.lines.stderr.log,
cda_ntscd,ntscd,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass2.lines.stderr.log,
cda_ntscd2,ntscd2,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass1.lines.stderr.log,
cda_ntscd2,ntscd2,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass2.lines.stderr.log,
cda_dod_ntscd,dod+ntscd,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_dod_ntscd_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_dod_ntscd_pass1.lines.stderr.log,
cda_dod_ntscd,dod+ntscd,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_dod_ntscd_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_dod_ntscd_pass2.lines.stderr.log,
cda_ntscd_ranganath,ntscd-ranganath,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_ranganath_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_ranganath_pass1.lines.stderr.log,
cda_ntscd_ranganath,ntscd-ranganath,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_ranganath_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_ranganath_pass2.lines.stderr.log,
