step,analysis_mode,channel,pass,timeout_sec,status,exit_code,elapsed_sec,issue,stdout,stderr,dot_file
cda_standard,standard,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass1.lines.stderr.log,
cda_standard,standard,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass2.lines.stderr.log,
cda_standard,standard,dot,1,1800,completed,0,,,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass1.dot.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_standard_pass1.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/dot/cda_standard.dot
cda_ntscd,ntscd,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass1.lines.stderr.log,
cda_ntscd,ntscd,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass2.lines.stderr.log,
cda_ntscd,ntscd,dot,1,1800,completed,0,,,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass1.dot.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd_pass1.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/dot/cda_ntscd.dot
cda_ntscd2,ntscd2,lines,1,1800,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass1.lines.stderr.log,
cda_ntscd2,ntscd2,lines,2,3600,timeout,124,,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass2.lines.stderr.log,
cda_ntscd2,ntscd2,dot,1,1800,completed,0,,,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass1.dot.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_ntscd2_pass1.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/dot/cda_ntscd2.dot
cda_dod,dod,lines,1,1800,completed,0,,,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_dod_pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/dg/dg-LLVM14-O2-g/cda_timeout_retry_20260331_074712/log/cda_dod_pass1.lines.stderr.log,
