category,key,count
case_kind,broken_module,1
case_kind,error_line,10
case_kind,trivial_safe_warning,7
case_kind,undefined_read_block,3
case_kind,undefined_read_summary,1
case_kind,warning_line,3733
step_name,02:inspect_mem_stats,1
step_name,04:smc_typeoff,1328
step_name,05:smc_typeon,1186
step_name,06:smc_instrument,1190
step_name,07:horn_smc_reg,1
step_name,08:horn_smc_ptr,1
step_name,09:horn_smc_mem,1
step_name,11:horn_ndc_reg,1
step_name,12:horn_ndc_ptr,1
step_name,13:horn_ndc_mem,1
step_name,15:horn_crab_ptr,1
step_name,16:term,43
