step,name,exit_code,produced_output,key_error
01,inspect_profiler,0,,
02,inspect_mem_stats,0,,
03,inspect_callgraph_stats,0,,
04,smc_typeoff,247,,"ERROR 1: callee is not simulated by caller at   invoke void @_ZNK11flatbuffers4java13JavaGenerator21GenNullableAnnotationB5cxx11ERKNS_4TypeE(%""class.std::__cxx11::basic_string""* nonnull sret(%""class.std::__cxx11::basic_string"") align 8 %91, %""class.flatbuffers::java::JavaGenerator""* noundef nonnull align 8 dereferenceable(600) %0, %""struct.flatbuffers::Type""* noundef nonnull align 8 dereferenceable(26) %2660)"
05,smc_typeon,247,,
06,smc_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.smc.bc,"ERROR 1: callee is not simulated by caller at   invoke void @_ZNK11flatbuffers4java13JavaGenerator21GenNullableAnnotationB5cxx11ERKNS_4TypeE(%""class.std::__cxx11::basic_string""* nonnull sret(%""class.std::__cxx11::basic_string"") align 8 %91, %""class.flatbuffers::java::JavaGenerator""* noundef nonnull align 8 dereferenceable(600) %0, %""struct.flatbuffers::Type""* noundef nonnull align 8 dereferenceable(26) %2660)"
07,horn_smc_reg,0,horn_status.csv entry,
08,horn_smc_ptr,0,horn_status.csv entry,
09,horn_smc_mem,0,horn_status.csv entry,
10,ndc_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.ndc.bc,
11,horn_ndc_reg,0,horn_status.csv entry,
12,horn_ndc_ptr,0,horn_status.csv entry,
13,horn_ndc_mem,0,horn_status.csv entry,
14,crab_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_190038_fixed_fullmatrix/artifact/flatbuffers_flatc_O2_g.crab.bc,
15,horn_crab_ptr,0,horn_status.csv entry,
16,term,250,sea.term.log,"LLVM ERROR: Broken module found, compilation aborted!"
