step,name,exit_code,elapsed_sec,status,stdout,stderr
01,inspect_original_profiler,0,13,ok,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/inspect_original_profiler.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/inspect_original_profiler.stderr.log
02,horn_original_reg,247,103,error,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/horn_original_reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/horn_original_reg.stderr.log
03,slice_main_reachable,0,33,ok,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/slice_main_reachable.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/slice_main_reachable.stderr.log
gate,gate_main_flatbuffers_flatc_O2_g.main_slice.bc,0,0,ok,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.main_slice.bc.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.main_slice.bc.stderr.log
04,horn_slice_reg,247,48,error,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/horn_slice_reg.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/horn_slice_reg.stderr.log
05,smc_inst,247,173,error,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/smc_inst.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/smc_inst.stderr.log
gate,gate_main_flatbuffers_flatc_O2_g.smc.bc,0,1,ok,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.smc.bc.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.smc.bc.stderr.log
06,ndc_inst,247,48,error,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/ndc_inst.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/ndc_inst.stderr.log
gate,gate_main_flatbuffers_flatc_O2_g.ndc.bc,0,1,ok,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.ndc.bc.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.ndc.bc.stderr.log
07,crab_inst,247,103,error,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/crab_inst.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/crab_inst.stderr.log
gate,gate_main_flatbuffers_flatc_O2_g.crab.bc,0,1,ok,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.crab.bc.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/flatbuffers/seahorn/seahorn-O2-g/result/run_20260320_194406_baseline_slice_hardgate/log/gate_main_flatbuffers_flatc_O2_g.crab.bc.stderr.log
