step,analysis_kind,analysis_mode,channel,warning,stderr
pta_fi,PTA,fi,lines,IntToPtr with constant:   <badref> = inttoptr i64 -8 to i8*,/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(44) bitcast (i32* getelementptr inbounds (%""struct.Sirikata::Array1d.24"", %""struct.Sirikata::Array1d.24""* @cmpnfo, i64 0, i32 0, i64 0, i32 3) to i8*), i8 -1, i64 44, i1 false), !dbg !29237",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(44) bitcast (i32* getelementptr inbounds (%""struct.Sirikata::Array1d.24"", %""struct.Sirikata::Array1d.24""* @cmpnfo, i64 0, i32 0, i64 1, i32 3) to i8*), i8 -1, i64 44, i1 false), !dbg !29237",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(44) bitcast (i32* getelementptr inbounds (%""struct.Sirikata::Array1d.24"", %""struct.Sirikata::Array1d.24""* @cmpnfo, i64 0, i32 0, i64 2, i32 3) to i8*), i8 -1, i64 44, i1 false), !dbg !29237",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 8 dereferenceable(44) bitcast (i32* getelementptr inbounds (%""struct.Sirikata::Array1d.24"", %""struct.Sirikata::Array1d.24""* @cmpnfo, i64 0, i32 0, i64 3, i32 3) to i8*), i8 -1, i64 44, i1 false), !dbg !29237",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %543 = insertvalue { i64, i64 } poison, i64 %542, 0, !dbg !29990",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %546 = insertvalue { i64, i64 } %543, i64 %545, 1, !dbg !29990",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %187 = insertvalue { i64, i64 } poison, i64 %186, 0, !dbg !29360",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"[pta] UNHANDLED:   %190 = insertvalue { i64, i64 } %187, i64 %189, 1, !dbg !29360",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
pta_fi,PTA,fi,lines,"WARNING: Non-0 memset:   call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 1 dereferenceable(9) %5, i8 127, i64 9, i1 false), !dbg !29147",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/dg/dg-LLVM14-O2-g/high_precision_20260402_153121/log/pta_fi.lines.stderr.log
