category,key,count
case_kind,broken_module,1
case_kind,error_line,3
case_kind,undefined_read_block,2357
case_kind,undefined_read_summary,9
case_kind,warning_line,33339
step_name,02:inspect_mem_stats,1
step_name,04:smc_typeoff,298
step_name,05:smc_typeon,298
step_name,06:smc_instrument,150
step_name,07:horn_smc_reg,1
step_name,08:horn_smc_ptr,1
step_name,09:horn_smc_mem,1
step_name,10:ndc_instrument,148
step_name,11:horn_ndc_reg,10300
step_name,12:horn_ndc_ptr,10300
step_name,13:horn_ndc_mem,13242
step_name,14:crab_instrument,397
step_name,15:horn_crab_ptr,397
step_name,16:term,175
