case_id,source_mode,file,line,column,message,bitcode_snippet,log_file
1,smc_typeoff,Target/lepton/src/lepton/socket_serve.cc,387,5,Possible read of undefined value at,"tail call void @_Z12serving_loopiiiiRKSt8functionIFvPN6IOUtil10FileReaderEPNS0_10FileWriterEjbEEjjbi(i32 noundef %137, i32 noundef %138, i32 noundef %153, i32 noundef %154, %""class.std::function.15""* noundef nonnull align 8 dereferenceable(32) %0, i32 noundef %1, i32 noundef %160, i1 zeroext undef, i32 noundef %125), !dbg !29394",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
2,smc_typeoff,Target/lepton/src/lepton/jpgcoder.cc,630,83,Possible read of undefined value at,"%14 = shufflevector <2 x i64> %11, <2 x i64> poison, <2 x i32> <i32 1, i32 undef>, !dbg !29157",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
3,smc_typeoff,Target/lepton/src/lepton/jpgcoder.cc,1839,17,Possible read of undefined value at,"call void @_Z25timing_operation_completec(i8 signext undef), !dbg !31422",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
4,smc_typeoff,Target/lepton/src/lepton/jpgcoder.cc,1879,21,Possible read of undefined value at,"call void @_Z25timing_operation_completec(i8 signext undef), !dbg !31719",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
5,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1290 = insertelement <16 x i32> poison, i32 %1282, i64 0, !dbg !31186",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
6,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1291 = shufflevector <16 x i32> %1290, <16 x i32> poison, <16 x i32> zeroinitializer, !dbg !31186",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
7,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1294 = insertelement <16 x i32> poison, i32 %1283, i64 0, !dbg !31186",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
8,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1295 = shufflevector <16 x i32> %1294, <16 x i32> poison, <16 x i32> zeroinitializer, !dbg !31186",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
9,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1397 = insertelement <16 x i32> poison, i32 %1389, i64 0, !dbg !31229",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
10,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1398 = shufflevector <16 x i32> %1397, <16 x i32> poison, <16 x i32> zeroinitializer, !dbg !31229",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
11,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1401 = insertelement <16 x i32> poison, i32 %1390, i64 0, !dbg !31229",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
12,smc_typeoff,Target/lepton/src/lepton/bitops.hh,326,13,Possible read of undefined value at,"%1402 = shufflevector <16 x i32> %1401, <16 x i32> poison, <16 x i32> zeroinitializer, !dbg !31229",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
13,smc_typeoff,Target/lepton/src/lepton/jpgcoder.cc,1352,47,Possible read of undefined value at,"%28 = shufflevector <2 x i64> %25, <2 x i64> poison, <2 x i32> <i32 1, i32 undef>, !dbg !29193",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
14,smc_typeoff,Target/lepton/src/lepton/jpgcoder.cc,2764,47,Possible read of undefined value at,"%895 = shufflevector <2 x i64> %892, <2 x i64> poison, <2 x i32> <i32 1, i32 undef>, !dbg !30264",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
15,smc_typeoff,Target/lepton/src/lepton/recoder.cc,777,61,Possible read of undefined value at,"%527 = insertelement <4 x i32> poison, i32 %523, i64 0, !dbg !29896",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
16,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%302 = insertelement <4 x i32> undef, i32 %301, i64 0, !dbg !29155",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
17,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%325 = insertelement <4 x i32> undef, i32 %324, i64 0, !dbg !29176",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
18,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%347 = insertelement <4 x i32> undef, i32 %346, i64 0, !dbg !29196",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
19,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%368 = insertelement <4 x i32> undef, i32 %367, i64 0, !dbg !29215",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
20,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%389 = insertelement <4 x i32> undef, i32 %388, i64 0, !dbg !29234",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
21,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%410 = insertelement <4 x i32> undef, i32 %409, i64 0, !dbg !29253",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
22,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%431 = insertelement <4 x i32> undef, i32 %430, i64 0, !dbg !29272",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
23,smc_typeoff,Target/lepton/src/lepton/idct.cc,171,33,Possible read of undefined value at,"%452 = insertelement <4 x i32> undef, i32 %451, i64 0, !dbg !29291",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
24,smc_typeoff,Target/lepton/src/lepton/idct.cc,179,12,Possible read of undefined value at,"%642 = shufflevector <16 x i8> %641, <16 x i8> poison, <16 x i32> <i32 0, i32 1, i32 4, i32 5, i32 8, i32 9, i32 12, i32 13, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef>, !dbg !29442",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
25,smc_typeoff,Target/lepton/src/lepton/idct.cc,179,12,Possible read of undefined value at,"%649 = shufflevector <16 x i8> %648, <16 x i8> poison, <16 x i32> <i32 0, i32 1, i32 4, i32 5, i32 8, i32 9, i32 12, i32 13, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef>, !dbg !29448",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
26,smc_typeoff,Target/lepton/src/lepton/idct.cc,179,12,Possible read of undefined value at,"%655 = shufflevector <16 x i8> %654, <16 x i8> poison, <16 x i32> <i32 0, i32 1, i32 4, i32 5, i32 8, i32 9, i32 12, i32 13, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef>, !dbg !29453",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
27,smc_typeoff,Target/lepton/src/lepton/idct.cc,179,12,Possible read of undefined value at,"%661 = shufflevector <16 x i8> %660, <16 x i8> poison, <16 x i32> <i32 0, i32 1, i32 4, i32 5, i32 8, i32 9, i32 12, i32 13, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef>, !dbg !29458",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
28,smc_typeoff,Target/lepton/src/lepton/idct.cc,179,12,Possible read of undefined value at,"%667 = shufflevector <16 x i8> %666, <16 x i8> poison, <16 x i32> <i32 0, i32 1, i32 4, i32 5, i32 8, i32 9, i32 12, i32 13, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef>, !dbg !29463",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
29,smc_typeoff,Target/lepton/src/lepton/idct.cc,179,12,Possible read of undefined value at,"%673 = shufflevector <16 x i8> %672, <16 x i8> poison, <16 x i32> <i32 0, i32 1, i32 4, i32 5, i32 8, i32 9, i32 12, i32 13, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef, i32 undef>, !dbg !29468",/home/jimi/PaperExperiment/CompilerOptimization/Result/lepton/seahorn/seahorn-O2-g/result/run_20260320_200050_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
