case_id,source_mode,file,line,column,message,bitcode_snippet,log_file
1,smc_typeoff,Target/libsndfile/src/common.c,1399,29,Possible read of undefined value at,"%20 = shufflevector <16 x i8> %19, <16 x i8> poison, <16 x i32> <i32 15, i32 14, i32 13, i32 12, i32 11, i32 10, i32 9, i32 8, i32 7, i32 6, i32 5, i32 4, i32 3, i32 2, i32 1, i32 0>, !dbg !6745",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
2,smc_typeoff,Target/libsndfile/src/common.c,1399,14,Possible read of undefined value at,"%25 = shufflevector <16 x i8> %24, <16 x i8> poison, <16 x i32> <i32 15, i32 14, i32 13, i32 12, i32 11, i32 10, i32 9, i32 8, i32 7, i32 6, i32 5, i32 4, i32 3, i32 2, i32 1, i32 0>, !dbg !6755",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
3,smc_typeoff,Target/libsndfile/src/common.c,1399,29,Possible read of undefined value at,"%50 = shufflevector <8 x i8> %49, <8 x i8> poison, <8 x i32> <i32 7, i32 6, i32 5, i32 4, i32 3, i32 2, i32 1, i32 0>, !dbg !6745",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
4,smc_typeoff,Target/libsndfile/src/common.c,1399,14,Possible read of undefined value at,"%55 = shufflevector <8 x i8> %54, <8 x i8> poison, <8 x i32> <i32 7, i32 6, i32 5, i32 4, i32 3, i32 2, i32 1, i32 0>, !dbg !6755",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
5,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%24 = insertelement <4 x float> poison, float %23, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
6,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%38 = insertelement <4 x float> poison, float %37, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
7,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%46 = insertelement <4 x float> poison, float %45, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
8,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%54 = insertelement <4 x float> poison, float %53, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
9,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%62 = insertelement <4 x float> poison, float %61, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
10,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%25 = insertelement <4 x float> poison, float %20, i64 0, !dbg !6773",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
11,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%42 = insertelement <4 x float> poison, float %37, i64 0, !dbg !6773",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
12,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%56 = insertelement <4 x float> poison, float %51, i64 0, !dbg !6773",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
13,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%24 = insertelement <2 x double> poison, double %23, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
14,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%38 = insertelement <2 x double> poison, double %37, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
15,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%46 = insertelement <2 x double> poison, double %45, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
16,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%54 = insertelement <2 x double> poison, double %53, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
17,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%62 = insertelement <2 x double> poison, double %61, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
18,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%25 = insertelement <2 x double> poison, double %20, i64 0, !dbg !6773",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
19,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%42 = insertelement <2 x double> poison, double %37, i64 0, !dbg !6773",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
20,smc_typeoff,Target/libsndfile/src/common.h,976,26,Possible read of undefined value at,"%56 = insertelement <2 x double> poison, double %51, i64 0, !dbg !6773",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
21,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%24 = insertelement <4 x float> poison, float %23, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
22,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%37 = insertelement <4 x float> poison, float %36, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
23,smc_typeoff,Target/libsndfile/src/common.h,967,26,Possible read of undefined value at,"%44 = insertelement <4 x float> poison, float %43, i64 0, !dbg !6765",/home/jimi/PaperExperiment/CompilerOptimization/Result/libsndfile/seahorn/seahorn-O2-g/result/run_20260322_101107_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
