step,analysis_kind,analysis_mode,timeout_sec,overall_status,line_status,line_exit_code,line_elapsed_sec,line_issue,line_stdout,line_stderr,dot_status,dot_exit_code,dot_elapsed_sec,dot_issue,dot_file,dot_stderr,command_lines,command_dot,expected_unsupported
pta_fi,PTA,fi,900,timeout,timeout,124,900,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_fi.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_fi.lines.stderr.log,timeout,124,900,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/pta_fi.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_fi.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta fi '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta fi '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/pta_fi.dot'""'""''",0
pta_fs,PTA,fs,1200,failed,failed,137,123,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_fs.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_fs.lines.stderr.log,failed,137,110,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/pta_fs.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_fs.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/pta_fs.dot'""'""''",0
pta_inv,PTA,inv,1200,failed,failed,137,90,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_inv.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_inv.lines.stderr.log,failed,137,90,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/pta_inv.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/pta_inv.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/pta_inv.dot'""'""''",0
dda_fi,DDA,ssa+fi,900,timeout,timeout,124,900,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_fi.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_fi.lines.stderr.log,timeout,124,900,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/dda_fi.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_fi.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta fi '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta fi '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/dda_fi.dot'""'""''",0
dda_fs,DDA,ssa+fs,1200,failed,failed,137,67,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_fs.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_fs.lines.stderr.log,failed,137,68,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/dda_fs.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_fs.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/dda_fs.dot'""'""''",0
dda_inv,DDA,ssa+inv,1200,failed,failed,137,67,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_inv.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_inv.lines.stderr.log,failed,137,75,WARN: Unsupported return of an aggregate type,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/dda_inv.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/dda_inv.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/dda_inv.dot'""'""''",0
cda_standard_icfg,CDA,standard+icfg+pta,300,failed,failed,2,4,ERROR: standard CDA does not support --cda-icfg in DG,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_standard_icfg.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_standard_icfg.lines.stderr.log,failed,2,5,ERROR: standard CDA does not support --cda-icfg in DG,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/cda_standard_icfg.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_standard_icfg.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda standard --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda standard --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/dot/cda_standard_icfg.dot'""'""''",1
cda_ntscd_icfg_q,CDA,ntscd+icfg+pta+q,1200,timeout,timeout,124,1200,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_ntscd_icfg_q.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_ntscd_icfg_q.stderr.log,,,,,,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump -q -cda ntscd --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''",,0
cda_ntscd_icfg_ir,CDA,ntscd+icfg+pta+ir,1200,timeout,timeout,124,1200,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_ntscd_icfg_ir.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_ntscd_icfg_ir.stderr.log,,,,,,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --ir -cda ntscd --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''",,0
cda_ntscd_icfg_text,CDA,ntscd+icfg+pta+text,300,unsupported_expected,unsupported_expected,2,6,ERROR: llvm-cda-dump textual/--dot dumping for ICFG CDA is currently unsupported; use --ir or -q,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_ntscd_icfg_text.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/dg/dg-LLVM14-O2-g/high_precision_20260326_165024/log/cda_ntscd_icfg_text.stderr.log,,,,,,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda ntscd --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/artifacts/masscan_O2_g.bc'""'""''",,1
