step,name,exit_code,produced_output,key_error
01,inspect_profiler,0,,
02,inspect_mem_stats,0,,
03,inspect_callgraph_stats,0,,
04,smc_typeoff,0,,
05,smc_typeon,0,,
06,smc_instrument,245,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/artifact/masscan_O2_g.smc.bc,
07,horn_smc_reg,3,horn_status.csv entry,error: Bitcode was not properly read; Could not open input file: No such file or directory
08,horn_smc_ptr,3,horn_status.csv entry,error: Bitcode was not properly read; Could not open input file: No such file or directory
09,horn_smc_mem,3,horn_status.csv entry,error: Bitcode was not properly read; Could not open input file: No such file or directory
10,ndc_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/artifact/masscan_O2_g.ndc.bc,
11,horn_ndc_reg,0,horn_status.csv entry,
12,horn_ndc_ptr,0,horn_status.csv entry,
13,horn_ndc_mem,0,horn_status.csv entry,
14,crab_instrument,247,/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/artifact/masscan_O2_g.crab.bc,
15,horn_crab_ptr,0,horn_status.csv entry,
16,term,247,sea.term.log,
