case_id,source_mode,file,line,column,message,bitcode_snippet,log_file
1,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main-ptrace.c,89,36,Possible read of undefined value at,"%86 = insertelement <8 x i32> poison, i32 %85, i64 0, !dbg !15727",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
2,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main-ptrace.c,89,36,Possible read of undefined value at,"%87 = shufflevector <8 x i32> %86, <8 x i32> poison, <8 x i32> zeroinitializer, !dbg !15727",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
3,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main.c,1196,28,Possible read of undefined value at,"%185 = shufflevector <4 x i32> %184, <4 x i32> poison, <2 x i32> <i32 0, i32 2>, !dbg !15907",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
4,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main.c,1196,28,Possible read of undefined value at,"%186 = shufflevector <4 x i32> %184, <4 x i32> poison, <2 x i32> <i32 1, i32 3>, !dbg !15907",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
5,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main.c,1196,28,Possible read of undefined value at,"%199 = shufflevector <4 x i32> %198, <4 x i32> poison, <2 x i32> <i32 0, i32 2>, !dbg !15907",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
6,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main.c,1196,28,Possible read of undefined value at,"%200 = shufflevector <4 x i32> %198, <4 x i32> poison, <2 x i32> <i32 1, i32 3>, !dbg !15907",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
7,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main.c,1196,28,Possible read of undefined value at,"%219 = shufflevector <4 x i32> %218, <4 x i32> poison, <2 x i32> <i32 0, i32 2>, !dbg !15907",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
8,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/main.c,1196,28,Possible read of undefined value at,"%220 = shufflevector <4 x i32> %218, <4 x i32> poison, <2 x i32> <i32 1, i32 3>, !dbg !15907",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
9,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/massip-rangesv4.c,804,46,Possible read of undefined value at,"%25 = shufflevector <4 x i32> %23, <4 x i32> poison, <2 x i32> <i32 0, i32 2>, !dbg !15554",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
10,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/massip-rangesv4.c,804,46,Possible read of undefined value at,"%26 = shufflevector <4 x i32> %24, <4 x i32> poison, <2 x i32> <i32 0, i32 2>, !dbg !15554",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
11,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/massip-rangesv4.c,804,46,Possible read of undefined value at,"%27 = shufflevector <4 x i32> %23, <4 x i32> poison, <2 x i32> <i32 1, i32 3>, !dbg !15554",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
12,smc_typeoff,CompilerOptimization/CompilerResult/masscan/LLVM14-O2-g/work/masscan-src/src/massip-rangesv4.c,804,46,Possible read of undefined value at,"%28 = shufflevector <4 x i32> %24, <4 x i32> poison, <2 x i32> <i32 1, i32 3>, !dbg !15554",/home/jimi/PaperExperiment/CompilerOptimization/Result/masscan/seahorn/seahorn-O2-g/result/run_20260322_103404_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
