step,kind,note,timeout_sec,status,exit_code,elapsed_sec,issue,stdout,stderr,dot_file,command
pta_fs,line,bounded field sensitivity 64,1200,completed,0,56,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/pta_fs.line.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/pta_fs.line.stderr.log,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''"
pta_fs,dot,bounded field sensitivity 64,1200,completed,0,95,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/pta_fs.dot.dot.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/pta_fs.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/pta_fs.dot,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/pta_fs.dot'""'""''"
pta_inv,line,bounded field sensitivity 64,1200,completed,0,71,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/pta_inv.line.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/pta_inv.line.stderr.log,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''"
pta_inv,dot,bounded field sensitivity 64,1200,completed,0,109,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/pta_inv.dot.dot.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/pta_inv.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/pta_inv.dot,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/pta_inv.dot'""'""''"
dda_fs,line,bounded field sensitivity 64,1200,completed,0,67,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/dda_fs.line.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/dda_fs.line.stderr.log,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''"
dda_fs,dot,bounded field sensitivity 64,1200,completed,0,68,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/dda_fs.dot.dot.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/dda_fs.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/dda_fs.dot,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/dda_fs.dot'""'""''"
dda_inv,line,bounded field sensitivity 64,1200,completed,0,82,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/dda_inv.line.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/dda_inv.line.stderr.log,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''"
dda_inv,dot,bounded field sensitivity 64,1200,completed,0,82,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/dda_inv.dot.dot.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/dda_inv.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/dda_inv.dot,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/dda_inv.dot'""'""''"
cda_standard_icfg,line,now rejected gracefully as unsupported,300,failed,2,0,ERROR: standard CDA does not support --cda-icfg in DG,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_standard_icfg.line.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_standard_icfg.line.stderr.log,,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda standard --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''"
cda_standard_icfg,dot,now rejected gracefully as unsupported,300,failed,2,0,ERROR: standard CDA does not support --cda-icfg in DG,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_standard_icfg.dot.dot.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/log/cda_standard_icfg.dot.stderr.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_standard_icfg.dot,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda standard --cda-icfg --use-pta --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/repair_20260326_142020/dot/cda_standard_icfg.dot'""'""''"
