step,analysis_kind,analysis_mode,timeout_sec,overall_status,line_status,line_exit_code,line_elapsed_sec,line_issue,line_stdout,line_stderr,dot_status,dot_exit_code,dot_elapsed_sec,dot_issue,dot_file,dot_stderr,command_lines,command_dot
pta_fi,PTA,fi,900,completed_with_warnings,completed_with_warnings,0,62,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(512) %70, i8 -1, i64 512, i1 false), !dbg !950",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_fi.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_fi.lines.stderr.log,completed_with_warnings,0,129,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(512) %70, i8 -1, i64 512, i1 false), !dbg !950",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/pta_fi.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_fi.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta fi '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta fi '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/pta_fi.dot'""'""''"
pta_fs,PTA,fs,600,timeout,failed,137,230,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_fs.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_fs.lines.stderr.log,timeout,124,600,TIMEOUT,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/pta_fs.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_fs.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta fs '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta fs '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/pta_fs.dot'""'""''"
pta_inv,PTA,inv,600,failed,failed,137,224,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_inv.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_inv.lines.stderr.log,failed,137,190,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/pta_inv.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/pta_inv.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta inv '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta inv '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/pta_inv.dot'""'""''"
dda_fi,DDA,ssa+fi,900,completed_with_warnings,completed_with_warnings,0,97,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(512) %70, i8 -1, i64 512, i1 false), !dbg !950",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_fi.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_fi.lines.stderr.log,completed_with_warnings,0,99,"WARNING: Non-0 memset:   tail call void @llvm.memset.p0i8.i64(i8* noundef nonnull align 4 dereferenceable(512) %70, i8 -1, i64 512, i1 false), !dbg !950",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/dda_fi.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_fi.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta fi '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta fi '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/dda_fi.dot'""'""''"
dda_fs,DDA,ssa+fs,600,failed,failed,137,515,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_fs.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_fs.lines.stderr.log,failed,137,323,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/dda_fs.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_fs.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta fs '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta fs '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/dda_fs.dot'""'""''"
dda_inv,DDA,ssa+inv,600,failed,failed,137,237,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_inv.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_inv.lines.stderr.log,failed,137,280,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/dda_inv.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/dda_inv.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta inv '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta inv '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/dda_inv.dot'""'""''"
cda_standard,CDA,standard,300,completed,completed,0,4,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_standard.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_standard.lines.stderr.log,completed,0,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_standard.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_standard.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda standard '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda standard '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_standard.dot'""'""''"
cda_ntscd,CDA,ntscd,300,completed,completed,0,3,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_ntscd.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_ntscd.lines.stderr.log,completed,0,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_ntscd.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_ntscd.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda ntscd '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda ntscd '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_ntscd.dot'""'""''"
cda_ntscd2,CDA,ntscd2,300,completed,completed,0,3,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_ntscd2.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_ntscd2.lines.stderr.log,completed,0,2,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_ntscd2.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_ntscd2.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda ntscd2 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda ntscd2 '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_ntscd2.dot'""'""''"
cda_dod,CDA,dod,300,completed,completed,0,2,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_dod.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_dod.lines.stderr.log,completed,0,2,,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_dod.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/log/cda_dod.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda dod '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda dod '""'""'/work/CompilerOptimization/CompilerResult/tengine/LLVM14-O2-g/artifacts/tengine.bc'""'""' > '""'""'/work/CompilerOptimization/Result/tengine/dg/dg-LLVM14-O2-g/high_precision_20260325_125828/dot/cda_dod.dot'""'""''"
