category,key,count
case_kind,error_line,4
case_kind,undefined_read_block,1074
case_kind,undefined_read_summary,11
case_kind,warning_line,15037
step_name,02:inspect_mem_stats,1
step_name,04:smc_typeoff,174
step_name,05:smc_typeon,174
step_name,06:smc_instrument,38
step_name,07:horn_smc_reg,1
step_name,08:horn_smc_ptr,1
step_name,09:horn_smc_mem,1
step_name,10:ndc_instrument,136
step_name,11:horn_ndc_reg,5038
step_name,12:horn_ndc_ptr,5038
step_name,13:horn_ndc_mem,5110
step_name,14:crab_instrument,90
step_name,15:horn_crab_ptr,90
step_name,16:term,234
