step,name,exit_code,produced_output,key_error
01,inspect_profiler,0,,
02,inspect_mem_stats,0,,
03,inspect_callgraph_stats,0,,
04,smc_typeoff,0,,
05,smc_typeon,0,,
06,smc_instrument,245,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/artifact/tengine.smc.bc,
07,horn_smc_reg,3,horn_status.csv entry,error: Bitcode was not properly read; Could not open input file: No such file or directory
08,horn_smc_ptr,3,horn_status.csv entry,error: Bitcode was not properly read; Could not open input file: No such file or directory
09,horn_smc_mem,3,horn_status.csv entry,error: Bitcode was not properly read; Could not open input file: No such file or directory
10,ndc_instrument,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/artifact/tengine.ndc.bc,
11,horn_ndc_reg,0,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `main' at basic block _call779
12,horn_ndc_ptr,247,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `main' at basic block _call770
13,horn_ndc_mem,247,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `main' at basic block _call770
14,crab_instrument,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/artifact/tengine.crab.bc,
15,horn_crab_ptr,0,horn_status.csv entry,
16,term,0,sea.term.log,"(error ""line 3 column 12: Invalid query argument, expected uinterpreted function name, but argument is interpreted"")"
