case_id,source_mode,file,line,column,message,bitcode_snippet,log_file
1,smc_typeoff,Target/Tengine/examples/common/common.h,67,36,Possible read of undefined value at,"%108 = shufflevector <2 x i64> %105, <2 x i64> poison, <2 x i32> <i32 1, i32 undef>, !dbg !1043",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
2,smc_typeoff,Target/Tengine/examples/tm_classification.c,138,26,Possible read of undefined value at,"%113 = shufflevector <2 x double> %112, <2 x double> poison, <2 x i32> <i32 1, i32 undef>, !dbg !1048",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
3,smc_typeoff,Target/Tengine/examples/common/stb_image.h,5802,15,Possible read of undefined value at,"%2424 = shufflevector <2 x i32> %2423, <2 x i32> poison, <2 x i32> <i32 1, i32 0>, !dbg !3751",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
4,smc_typeoff,Target/Tengine/examples/common/stb_image.h,3591,31,Possible read of undefined value at,"%18 = insertelement <2 x i64> poison, i64 %17, i64 0, !dbg !915",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
5,smc_typeoff,Target/Tengine/examples/common/stb_image.h,3592,32,Possible read of undefined value at,"%22 = insertelement <2 x i64> poison, i64 %21, i64 0, !dbg !921",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
6,smc_typeoff,Target/Tengine/examples/common/stb_image.h,3593,32,Possible read of undefined value at,"%26 = insertelement <2 x i64> poison, i64 %25, i64 0, !dbg !923",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
7,smc_typeoff,Target/Tengine/examples/common/stb_image.h,3410,24,Possible read of undefined value at,"%35 = insertelement <2 x i64> poison, i64 %34, i64 0, !dbg !912",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
8,smc_typeoff,Target/Tengine/examples/common/stb_image.h,3411,25,Possible read of undefined value at,"%39 = insertelement <2 x i64> poison, i64 %38, i64 0, !dbg !914",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
9,smc_typeoff,Target/Tengine/examples/common/stb_image.h,3425,24,Possible read of undefined value at,"%49 = shufflevector <8 x i16> %48, <8 x i16> poison, <8 x i32> <i32 undef, i32 0, i32 1, i32 2, i32 3, i32 4, i32 5, i32 6>, !dbg !920",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
10,smc_typeoff,Target/Tengine/examples/common/stb_image.h,3426,24,Possible read of undefined value at,"%52 = shufflevector <8 x i16> %48, <8 x i16> poison, <8 x i32> <i32 1, i32 2, i32 3, i32 4, i32 5, i32 6, i32 7, i32 undef>, !dbg !921",/home/jimi/PaperExperiment/CompilerOptimization/Result/tengine/seahorn/seahorn-O2-g/result/run_20260322_185943_fixed_fullmatrix/log/sea.smc.stats.typeoff.stderr.log
