step,analysis_kind,analysis_mode,timeout_sec,overall_status,line_status,line_exit_code,line_elapsed_sec,line_issue,line_stdout,line_stderr,dot_status,dot_exit_code,dot_elapsed_sec,dot_issue,dot_file,dot_stderr,command_lines,command_dot
pta_fi,PTA,fi,900,completed_with_warnings,completed_with_warnings,0,7,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_fi.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_fi.lines.stderr.log,completed_with_warnings,0,22,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/pta_fi.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_fi.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta fi '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta fi '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/pta_fi.dot'""'""''"
pta_fs,PTA,fs,1200,completed_with_warnings,completed_with_warnings,0,107,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_fs.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_fs.lines.stderr.log,completed_with_warnings,0,113,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/pta_fs.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_fs.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/pta_fs.dot'""'""''"
pta_inv,PTA,inv,1200,completed_with_warnings,completed_with_warnings,0,164,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_inv.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_inv.lines.stderr.log,completed_with_warnings,0,181,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/pta_inv.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/pta_inv.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-pta-dump --c-lines --ir --dot -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/pta_inv.dot'""'""''"
dda_fi,DDA,ssa+fi,900,completed_with_warnings,completed_with_warnings,0,38,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_fi.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_fi.lines.stderr.log,completed_with_warnings,0,39,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/dda_fi.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_fi.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta fi '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta fi '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/dda_fi.dot'""'""''"
dda_fs,DDA,ssa+fs,1200,completed_with_warnings,completed_with_warnings,0,118,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_fs.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_fs.lines.stderr.log,completed_with_warnings,0,112,"ShuffleVector instruction is not supported, loosing precision",/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/dda_fs.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_fs.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta fs --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/dda_fs.dot'""'""''"
dda_inv,DDA,ssa+inv,1200,failed,failed,137,34,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_inv.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_inv.lines.stderr.log,failed,137,44,NONZERO_EXIT_137,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/dda_inv.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/dda_inv.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines -dda ssa -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-dda-dump --c-lines --dot -dda ssa -pta inv --pta-field-sensitive 64 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/dda_inv.dot'""'""''"
cda_standard,CDA,standard,300/300,completed,completed,0,6,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_standard.pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_standard.pass1.lines.stderr.log,completed,0,3,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_standard.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_standard.pass1.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda standard '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda standard '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_standard.dot'""'""''"
cda_ntscd,CDA,ntscd,300/300,completed,completed,0,4,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_ntscd.pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_ntscd.pass1.lines.stderr.log,completed,0,3,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_ntscd.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_ntscd.pass1.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda ntscd '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda ntscd '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_ntscd.dot'""'""''"
cda_ntscd2,CDA,ntscd2,300/300,completed,completed,0,5,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_ntscd2.pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_ntscd2.pass1.lines.stderr.log,completed,0,3,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_ntscd2.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_ntscd2.pass1.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda ntscd2 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda ntscd2 '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_ntscd2.dot'""'""''"
cda_dod,CDA,dod,300/300,completed,completed,0,1,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_dod.pass1.lines.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_dod.pass1.lines.stderr.log,completed,0,3,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_dod.dot,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/log/cda_dod.pass1.dot.stderr.log,"docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines -cda dod '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""''","docker run --rm -v /home/jimi/PaperExperiment:/work -w /work --entrypoint /bin/bash dg-llvm14:latest -lc '/opt/dg/bin/llvm-cda-dump --c-lines --dot -cda dod '""'""'/work/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc'""'""' > '""'""'/work/CompilerOptimization/Result/zfp/dg/dg-LLVM14-O2-g/high_precision_20260402_154412/dot/cda_dod.dot'""'""''"
