mode,input_bc,track,step,dsa,result,exit_code,elapsed_sec,log_file
horn_orig_reg,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,reg,large,,error,247,115,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.reg.log
horn_orig_ptr,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,ptr,large,sea-cs,error,247,51,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.ptr.log
horn_orig_mem,/home/jimi/PaperExperiment/CompilerOptimization/CompilerResult/zfp/LLVM14-O2-g/artifacts/zfp_O2_g.bc,mem,small,sea-cs,error,247,37,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.orig.mem.log
horn_smc_reg,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/artifact/zfp_O2_g.smc.bc,reg,large,,error,247,117,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.reg.log
horn_smc_ptr,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/artifact/zfp_O2_g.smc.bc,ptr,large,sea-cs,error,247,52,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.ptr.log
horn_smc_mem,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/artifact/zfp_O2_g.smc.bc,mem,small,sea-cs,error,247,41,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/sea.horn.smc.mem.log
horn_ndc_reg,,,,,invalid_input,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_reg.log
horn_ndc_ptr,,,,,invalid_input,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_ptr.log
horn_ndc_mem,,,,,invalid_input,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_ndc_mem.log
horn_crab_ptr,,,,,invalid_input,SKIP,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/seahorn/seahorn-O2-g/result/run_20260322_194123_fixed_fullmatrix/log/horn_crab_ptr.log
