step,mode,check,encoding,unroll,verifier,timeout_sec,exit_code,elapsed_sec,stdout,stderr
00_env,setup,,,,,300,0,1,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/env.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/env.stderr.log
01_bc_integrity,setup,,,,,300,0,2,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/bc_integrity.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/bc_integrity.stderr.log
02_translate,translate,memory-safety,na,10,default,2100,1,6,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/translate.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/translate.stderr.log
03,verify,assertions,unbounded-integer,10,default,2100,1,6,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.assertions.ub.u10.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.assertions.ub.u10.default.stderr.log
04,verify,memory-safety,unbounded-integer,10,default,2100,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.ub.u10.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.ub.u10.default.stderr.log
05,verify,integer-overflow,unbounded-integer,10,default,2100,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.integer-overflow.ub.u10.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.integer-overflow.ub.u10.default.stderr.log
06,verify,memory-safety,unbounded-integer,16,default,2100,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.ub.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.ub.u16.default.stderr.log
07,verify,assertions,bit-vector,10,default,2100,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.assertions.bv.u10.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.assertions.bv.u10.default.stderr.log
08,verify,memory-safety,bit-vector,10,default,2100,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.bv.u10.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.bv.u10.default.stderr.log
09,verify,integer-overflow,bit-vector,10,default,2100,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.integer-overflow.bv.u10.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.integer-overflow.bv.u10.default.stderr.log
10,verify,memory-safety,unbounded-integer,10,svcomp,2100,1,6,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.ub.u10.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zfp/smack/smack-O2-g/runs/run_20260410_005715/log/smack.memory-safety.ub.u10.svcomp.stderr.log
