case_id,source_mode,reported_file,host_file,line,column,status,actual_source_line,reported_bitcode,message,reason,log_file
1,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%53 = insertelement <8 x i16> poison, i16 %41, i64 0, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
2,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%54 = shufflevector <8 x i16> %53, <8 x i16> poison, <8 x i32> zeroinitializer, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
3,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%55 = insertelement <8 x i16> poison, i16 %41, i64 0, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
4,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%56 = shufflevector <8 x i16> %55, <8 x i16> poison, <8 x i32> zeroinitializer, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
5,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,492,9,ok,        for (k = 0; k < stride; ++k) {,"%188 = insertelement <2 x i64> poison, i64 %184, i64 0, !dbg !453",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
6,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,492,9,ok,        for (k = 0; k < stride; ++k) {,"%189 = shufflevector <2 x i64> %188, <2 x i64> poison, <2 x i32> zeroinitializer, !dbg !453",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
7,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,492,9,ok,        for (k = 0; k < stride; ++k) {,"%190 = insertelement <2 x i64> poison, i64 %184, i64 0, !dbg !453",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
8,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,492,9,ok,        for (k = 0; k < stride; ++k) {,"%191 = shufflevector <2 x i64> %190, <2 x i64> poison, <2 x i32> zeroinitializer, !dbg !453",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
9,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,498,11,ok,          for (j = bestlength + 1; j <= currentlength; j++) {,"%297 = insertelement <8 x i16> poison, i16 %276, i64 0, !dbg !546",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
10,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,498,11,ok,          for (j = bestlength + 1; j <= currentlength; j++) {,"%298 = shufflevector <8 x i16> %297, <8 x i16> poison, <8 x i32> zeroinitializer, !dbg !546",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
11,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,498,11,ok,          for (j = bestlength + 1; j <= currentlength; j++) {,"%299 = insertelement <8 x i16> poison, i16 %276, i64 0, !dbg !546",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
12,smc_typeoff,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/lz77.c,498,11,ok,          for (j = bestlength + 1; j <= currentlength; j++) {,"%300 = shufflevector <8 x i16> %299, <8 x i16> poison, <8 x i32> zeroinitializer, !dbg !546",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeoff.stderr.log
13,smc_typeon,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%53 = insertelement <8 x i16> poison, i16 %41, i64 0, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeon.stderr.log
14,smc_typeon,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%54 = shufflevector <8 x i16> %53, <8 x i16> poison, <8 x i32> zeroinitializer, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeon.stderr.log
15,smc_typeon,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%55 = insertelement <8 x i16> poison, i16 %41, i64 0, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeon.stderr.log
16,smc_typeon,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/cache.c,102,5,ok,    for (i = prevlength; i <= length; i++) {,"%56 = shufflevector <8 x i16> %55, <8 x i16> poison, <8 x i32> zeroinitializer, !dbg !390",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeon.stderr.log
17,smc_typeon,CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/work/zopfli_rebuild/src/zopfli/deflate.c,492,9,ok,        for (k = 0; k < stride; ++k) {,"%188 = insertelement <2 x i64> poison, i64 %184, i64 0, !dbg !453",Possible read of undefined value at,,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260319_131231_zopfli_only/log/sea.smc.stats.typeon.stderr.log
