category,key,count
case_kind,error_line,1
case_kind,undefined_read_block,174
case_kind,undefined_read_summary,15
case_kind,warning_line,5173
step_name,02:inspect_mem_stats,1
step_name,04:smc_typeoff,34
step_name,05:smc_typeon,34
step_name,06:smc_instrument,34
step_name,07:horn_smc_reg,14
step_name,08:horn_smc_ptr,14
step_name,09:horn_smc_mem,106
step_name,10:ndc_instrument,13
step_name,11:horn_ndc_reg,1652
step_name,12:horn_ndc_ptr,1652
step_name,13:horn_ndc_mem,1746
step_name,14:crab_instrument,14
step_name,15:horn_crab_ptr,14
step_name,16:term,35
