step,name,exit_code,produced_output,key_error
01,inspect_profiler,0,,
02,inspect_mem_stats,0,,
03,inspect_callgraph_stats,0,,
04,smc_typeoff,0,,
05,smc_typeon,0,,
06,smc_instrument,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/artifact/zopfli_O2_g.smc.bc,
07,horn_smc_reg,0,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `ZopfliBlockSplitLZ77' at basic block _call323
08,horn_smc_ptr,0,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `ZopfliBlockSplitLZ77' at basic block _call187
09,horn_smc_mem,114,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `ZopfliBlockSplitLZ77' at basic block _call187
10,ndc_instrument,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/artifact/zopfli_O2_g.ndc.bc,
11,horn_ndc_reg,0,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `ZopfliBlockSplitLZ77' at basic block NullError
12,horn_ndc_ptr,0,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `ZopfliBlockSplitLZ77' at basic block NullError
13,horn_ndc_mem,114,horn_status.csv entry,WARNING: found a call to verifier.error() in Function `ZopfliBlockSplitLZ77' at basic block NullError
14,crab_instrument,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/seahorn/seahorn-O2-g/result/run_20260320_121720_fixed_fullscan/artifact/zopfli_O2_g.crab.bc,
15,horn_crab_ptr,0,horn_status.csv entry,
16,term,0,sea.term.log,
