step,mode,check,encoding,unroll,verifier,exit_code,elapsed_sec,log_stdout,log_stderr
00_env,setup,,,,,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/env.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/env.stderr.log
01_prepare,build,,,,,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/prepare.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/prepare.stderr.log
02_patch_makefile,build,,,,,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/patch_makefile.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/patch_makefile.stderr.log
03_make_clean,build,,,,,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/make_clean.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/make_clean.stderr.log
04_make_build,build,,,,,0,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/make_build.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/make_build.stderr.log
05_gen_bc,build,,,,,0,2,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/gen_bc.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/gen_bc.stderr.log
06_link,build,,,,,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/link.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/link.stderr.log
07_translate,translate,memory-safety,na,8,default,0,2,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.translate.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.translate.stderr.log
08_assertions_ub_u8_default,verify,assertions,unbounded-integer,8,default,0,54,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u8.default.stderr.log
09_assertions_ub_u8_svcomp,verify,assertions,unbounded-integer,8,svcomp,0,14,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u8.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u8.svcomp.stderr.log
10_assertions_ub_u16_default,verify,assertions,unbounded-integer,16,default,0,53,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u16.default.stderr.log
11_assertions_ub_u16_svcomp,verify,assertions,unbounded-integer,16,svcomp,0,13,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u16.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u16.svcomp.stderr.log
12_assertions_bv_u8_default,verify,assertions,bit-vector,8,default,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u8.default.stderr.log
13_assertions_bv_u8_svcomp,verify,assertions,bit-vector,8,svcomp,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u8.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u8.svcomp.stderr.log
14_assertions_bv_u16_default,verify,assertions,bit-vector,16,default,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u16.default.stderr.log
15_assertions_bv_u16_svcomp,verify,assertions,bit-vector,16,svcomp,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u16.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u16.svcomp.stderr.log
16_memory-safety_ub_u8_default,verify,memory-safety,unbounded-integer,8,default,2,1048,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u8.default.stderr.log
17_memory-safety_ub_u8_svcomp,verify,memory-safety,unbounded-integer,8,svcomp,126,1882,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u8.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u8.svcomp.stderr.log
18_memory-safety_ub_u16_default,verify,memory-safety,unbounded-integer,16,default,2,997,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u16.default.stderr.log
19_memory-safety_ub_u16_svcomp,verify,memory-safety,unbounded-integer,16,svcomp,126,1882,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u16.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u16.svcomp.stderr.log
20_memory-safety_bv_u8_default,verify,memory-safety,bit-vector,8,default,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u8.default.stderr.log
21_memory-safety_bv_u8_svcomp,verify,memory-safety,bit-vector,8,svcomp,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u8.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u8.svcomp.stderr.log
22_memory-safety_bv_u16_default,verify,memory-safety,bit-vector,16,default,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u16.default.stderr.log
23_memory-safety_bv_u16_svcomp,verify,memory-safety,bit-vector,16,svcomp,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u16.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u16.svcomp.stderr.log
24_integer-overflow_ub_u8_default,verify,integer-overflow,unbounded-integer,8,default,0,54,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u8.default.stderr.log
25_integer-overflow_ub_u8_svcomp,verify,integer-overflow,unbounded-integer,8,svcomp,0,14,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u8.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u8.svcomp.stderr.log
26_integer-overflow_ub_u16_default,verify,integer-overflow,unbounded-integer,16,default,0,53,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u16.default.stderr.log
27_integer-overflow_ub_u16_svcomp,verify,integer-overflow,unbounded-integer,16,svcomp,0,14,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u16.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u16.svcomp.stderr.log
28_integer-overflow_bv_u8_default,verify,integer-overflow,bit-vector,8,default,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u8.default.stderr.log
29_integer-overflow_bv_u8_svcomp,verify,integer-overflow,bit-vector,8,svcomp,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u8.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u8.svcomp.stderr.log
30_integer-overflow_bv_u16_default,verify,integer-overflow,bit-vector,16,default,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u16.default.stderr.log
31_integer-overflow_bv_u16_svcomp,verify,integer-overflow,bit-vector,16,svcomp,1,4,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u16.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u16.svcomp.stderr.log
