mode,check,encoding,unroll,verifier,exit_code,result,elapsed_sec,key_message,log_file
translate,memory-safety,na,8,default,0,unknown,2,no-key-message,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.translate.stdout.log
verify,assertions,unbounded-integer,8,default,0,verified,54,SMACK found no errors with unroll bound 8.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u8.default.stdout.log
verify,assertions,unbounded-integer,8,svcomp,0,verified,14,SMACK found no errors with unroll bound 8.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u8.svcomp.stdout.log
verify,assertions,unbounded-integer,16,default,0,verified,53,SMACK found no errors with unroll bound 16.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u16.default.stdout.log
verify,assertions,unbounded-integer,16,svcomp,0,verified,13,SMACK found no errors with unroll bound 16.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.ub.u16.svcomp.stdout.log
verify,assertions,bit-vector,8,default,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u8.default.stdout.log
verify,assertions,bit-vector,8,svcomp,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u8.svcomp.stdout.log
verify,assertions,bit-vector,16,default,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u16.default.stdout.log
verify,assertions,bit-vector,16,svcomp,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.assertions.bv.u16.svcomp.stdout.log
verify,memory-safety,unbounded-integer,8,default,2,error,1048,SMACK found an error: invalid pointer dereference.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u8.default.stdout.log
verify,memory-safety,unbounded-integer,8,svcomp,126,error,1882,Timed out during normal inlining.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u8.svcomp.stdout.log
verify,memory-safety,unbounded-integer,16,default,2,error,997,SMACK found an error: invalid pointer dereference.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u16.default.stdout.log
verify,memory-safety,unbounded-integer,16,svcomp,126,error,1882,Timed out during normal inlining.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.ub.u16.svcomp.stdout.log
verify,memory-safety,bit-vector,8,default,1,error,5,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u8.default.stdout.log
verify,memory-safety,bit-vector,8,svcomp,1,error,5,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u8.svcomp.stdout.log
verify,memory-safety,bit-vector,16,default,1,error,5,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u16.default.stdout.log
verify,memory-safety,bit-vector,16,svcomp,1,error,5,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.memory-safety.bv.u16.svcomp.stdout.log
verify,integer-overflow,unbounded-integer,8,default,0,verified,54,SMACK found no errors with unroll bound 8.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u8.default.stdout.log
verify,integer-overflow,unbounded-integer,8,svcomp,0,verified,14,SMACK found no errors with unroll bound 8.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u8.svcomp.stdout.log
verify,integer-overflow,unbounded-integer,16,default,0,verified,53,SMACK found no errors with unroll bound 16.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u16.default.stdout.log
verify,integer-overflow,unbounded-integer,16,svcomp,0,verified,14,SMACK found no errors with unroll bound 16.,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.ub.u16.svcomp.stdout.log
verify,integer-overflow,bit-vector,8,default,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u8.default.stdout.log
verify,integer-overflow,bit-vector,8,svcomp,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u8.svcomp.stdout.log
verify,integer-overflow,bit-vector,16,default,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u16.default.stdout.log
verify,integer-overflow,bit-vector,16,svcomp,1,error,4,Traceback (most recent call last):,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260319_192457/log/smack.integer-overflow.bv.u16.svcomp.stdout.log
