step,mode,check,encoding,unroll,verifier,exit_code,elapsed_sec,log_stdout,log_stderr
00_env,setup,,,,,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/env.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/env.stderr.log
01_bc_check,setup,,,,,0,0,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/bc_check.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/bc_check.stderr.log
02_translate,translate,memory-safety,na,8,default,0,2,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.translate.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.translate.stderr.log
03,verify,assertions,unbounded-integer,8,default,0,66,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.assertions.ub.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.assertions.ub.u8.default.stderr.log
04,verify,memory-safety,unbounded-integer,8,default,2,1067,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u8.default.stderr.log
05,verify,integer-overflow,unbounded-integer,8,default,0,57,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.integer-overflow.ub.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.integer-overflow.ub.u8.default.stderr.log
06,verify,memory-safety,unbounded-integer,16,default,2,1070,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u16.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u16.default.stderr.log
07,verify,assertions,bit-vector,8,default,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.assertions.bv.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.assertions.bv.u8.default.stderr.log
08,verify,memory-safety,bit-vector,8,default,1,6,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.bv.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.bv.u8.default.stderr.log
09,verify,integer-overflow,bit-vector,8,default,1,5,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.integer-overflow.bv.u8.default.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.integer-overflow.bv.u8.default.stderr.log
10,verify,memory-safety,unbounded-integer,8,svcomp,126,1882,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u8.svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2-g/runs/run_20260326_170726_from_compilerresult/log/smack.memory-safety.ub.u8.svcomp.stderr.log
