step,group,name,timeout_sec,exit_code,elapsed_sec,status,stdout,stderr,notes
00,env,toolchain_check,120,0,0,completed,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/00.toolchain_check.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/00.toolchain_check.stderr.log,SMACK environment check
01,input,main_check,120,0,0,completed,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/01.main_check.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/01.main_check.stderr.log,Verify program-level bitcode contains main
02,input,undefined_symbols,120,0,0,completed,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/02.undefined_symbols.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/02.undefined_symbols.stderr.log,Collect undefined symbols for review
03,input,llvm_dis_check,300,0,0,completed,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/03.llvm_dis_check.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/03.llvm_dis_check.stderr.log,Check bitcode is readable by llvm-dis-13
04,translation,smack_translate,1800,0,2,completed_with_warnings,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/04.smack_translate.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/04.smack_translate.stderr.log,Translate only; stop bug conclusions if this fails
10,matrix,assertions_unbounded,2100,0,57,verified,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/10.assertions_unbounded.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/10.assertions_unbounded.stderr.log,default assertions run
11,matrix,memory_safety_unbounded,2100,2,1074,error,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/11.memory_safety_unbounded.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/11.memory_safety_unbounded.stderr.log,default memory-safety run
12,matrix,integer_overflow_unbounded,2100,0,57,verified,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/12.integer_overflow_unbounded.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/12.integer_overflow_unbounded.stderr.log,default overflow run
13,matrix,memory_safety_unbounded_unroll16,2100,2,1069,error,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/13.memory_safety_unbounded_unroll16.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/13.memory_safety_unbounded_unroll16.stderr.log,larger unroll for memory-safety
14,matrix,assertions_bitvector,2100,1,5,tool failure,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/14.assertions_bitvector.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/14.assertions_bitvector.stderr.log,bit-vector assertions run
15,matrix,memory_safety_bitvector,2100,1,6,tool failure,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/15.memory_safety_bitvector.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/15.memory_safety_bitvector.stderr.log,bit-vector memory-safety run
16,matrix,integer_overflow_bitvector,2100,1,5,tool failure,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/16.integer_overflow_bitvector.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/16.integer_overflow_bitvector.stderr.log,bit-vector overflow run
17,matrix,memory_safety_unbounded_svcomp,2100,1,1882,verified,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/17.memory_safety_unbounded_svcomp.stdout.log,/home/jimi/PaperExperiment/CompilerOptimization/Result/zopfli/smack/smack-O2/runs/run_20260412_233758/log/17.memory_safety_unbounded_svcomp.stderr.log,diagnostic verifier variant
